Entity,Label
坦克300,CarModel
变速箱,Unit
漏油,Failure
异响,Failure
电机,Unit
发动机,Unit
长安星卡,CarModel
星越S,CarModel
马自达3 昂克赛拉,CarModel
奔驰GLE,CarModel
锐界,CarModel
型格,CarModel
奥迪Q3,CarModel
迈腾,CarModel
思域,CarModel
奔腾X40,CarModel
燃油泵,Unit
抖动,Failure
福睿斯,CarModel
科沃兹,CarModel
英仕派,CarModel
逍客,CarModel
压力,Feature
起亚K3,CarModel
魏牌 VV5,CarModel
长安欧尚Z6,CarModel
福克斯,CarModel
领动,CarModel
帝豪,CarModel
艾瑞泽8,CarModel
影豹,CarModel
传感器,Unit
汉,CarModel
电池,Unit
动力电池,Unit
长安UNI-T,CarModel
炫丽,CarModel
唐,CarModel
奔奔E-Star,CarModel
卡罗拉,CarModel
域虎7,CarModel
动力受限,Failure
AION Y,CarModel
奥迪A3,CarModel
极氪001,CarModel
亚洲龙,CarModel
捷达VS7,CarModel
博越,CarModel
君威,CarModel
标致408,CarModel
奕炫MAX,CarModel
空调,Unit
转速,Feature
奔腾T77,CarModel
星途追风ET-i,CarModel
宝马5系,CarModel
探岳,CarModel
哈弗H7,CarModel
长安CS75 PLUS,CarModel
探界者,CarModel
宋PLUS新能源,CarModel
宋Pro新能源,CarModel
金刚炮,CarModel
北京现代ix35,CarModel
维特拉,CarModel
转向机,Unit
冷却系统,Unit
元PLUS,CarModel
本田XR-V,CarModel
奇骏,CarModel
艾力绅,CarModel
凌派,CarModel
朗逸,CarModel
天籁,CarModel
长安UNI-V 智电iDD,CarModel
长安CS35 PLUS,CarModel
奥迪A8,CarModel
瑞虎8 PRO,CarModel
蒙迪欧,CarModel
传祺M8,CarModel
君越,CarModel
长安CS55 PLUS,CarModel
凯越,CarModel
凌渡,CarModel
本田CR-V,CarModel
帕萨特,CarModel
奥迪A4L,CarModel
凯美瑞,CarModel
凯迪拉克XT5,CarModel
名爵ZS,CarModel
电压,Feature
无法启动,Failure
温度,Feature
领界,CarModel
速腾,CarModel
助力泵,Unit
缤智,CarModel
高尔夫,CarModel
欧蓝德,CarModel
轴承,Unit
断裂,Failure
星越L,CarModel
劲客,CarModel
赛拉图,CarModel
冠道,CarModel
星瑞,CarModel
汉兰达,CarModel
哥瑞,CarModel
探岳GTE插电混动,CarModel
途胜,CarModel
欧马可,CarModel
宏光MINIEV,CarModel
AION V,CarModel
控制器,Unit
瑞虎8,CarModel
五菱之光,CarModel
花冠,CarModel
途观L,CarModel
飞凡R7,CarModel
昂科威,CarModel
奔驰E级,CarModel
电流,Feature
熄火,Failure
雪铁龙C6,CarModel
宝马3系,CarModel
阅朗,CarModel
奥迪Q5L,CarModel
起亚K5,CarModel
宝马6系GT,CarModel
马自达CX-4,CarModel
豪越L,CarModel
宝沃BX7,CarModel
俊风ER30,CarModel
报警,Failure
享域,CarModel
奔腾T99,CarModel
威朗,CarModel
起亚K4,CarModel
长安UNI-K 智电iDD,CarModel
卡罗拉锐放,CarModel
